date,name,review
16 November 2021,Rougeux Rougeux," I really like it! I do think Google Classroom is a little bit better, because it is easier to create assignments (according to my social studies teacher), and it is just a little less confusing for the students because Canvas has more things that you are able to click on, that just aren't useful at Full ReviewI really like it! I do think Google Classroom is a little bit better, because it is easier to create assignments (according to my social studies teacher), and it is just a little less confusing for the students because Canvas has more things that you are able to click on, that just aren't useful at all. It also took me, like, a month after downloading it for it to actually let me sign in. So yeah, it is pretty good, but it could be better"
18 November 2021,Heron Splinter," This app is really friendly-feeling! It has great animations and it is pretty easy to navigate and understand. It handles attachments and files extremely well. I've never had an abiguous moment regarding submissions. It makes it quite clear how week the upload is and if it fails. One request: ViewinFull ReviewThis app is really friendly-feeling! It has great animations and it is pretty easy to navigate and understand. It handles attachments and files extremely well. I've never had an abiguous moment regarding submissions. It makes it quite clear how week the upload is and if it fails. One request: Viewing attached files in discussion posts is confusing. It's not clear where to tap to access them. Then, the download progress of the file is hidden."
24 October 2021,Lyndsey Wolfe," My calendar feature hasn't worked in months but no one I know is having issues with theirs. Mine says ""There was an error loading your calendar"" with a ""Retry"" button but it doesn't matter how many times I retry, it doesn't work. The To-do list feature works but I hate that, I want my calendar back.Full ReviewMy calendar feature hasn't worked in months but no one I know is having issues with theirs. Mine says ""There was an error loading your calendar"" with a ""Retry"" button but it doesn't matter how many times I retry, it doesn't work. The To-do list feature works but I hate that, I want my calendar back. I've even tried uninstalling and reinstalling the app and nothing works. Also, a really smart feature to have would be the ability to set reminders or notifications for upcoming calendar due dates."
16 November 2021,Ajay Kumar," App works farily well, but there are still a few issues. The app doesn't offer anyway to collapse all the tabs in a class's various files which can be annoying and there's no way to hide old content which hasn't been done. Something minor but annoying is the when adding a file to submit with the panFull ReviewApp works farily well, but there are still a few issues. The app doesn't offer anyway to collapse all the tabs in a class's various files which can be annoying and there's no way to hide old content which hasn't been done. Something minor but annoying is the when adding a file to submit with the panda on a stool, the text overlaps and looks weird. Overall annoying minor issues but it gets the job done."
10 November 2021,Ariel Vasquez-Hernandez," This app has been really useful. I am able to quickly check in with my professors by using the messaging providing in this app. It is easy to set up on my mobile device, tablet, and PC. It is also useful when needing to contact classmates rather having to open up an email account and formatting a meFull ReviewThis app has been really useful. I am able to quickly check in with my professors by using the messaging providing in this app. It is easy to set up on my mobile device, tablet, and PC. It is also useful when needing to contact classmates rather having to open up an email account and formatting a message via email. The app does forward an alert that someone has sent you a message via email. This app has a vast list of schools that you can connect to your schools system. It is really a great app!"
21 November 2021,Val W," Meh app I like that I can see each class on my dashboard. Sadly, I am unable to do much else. The calendar does not function, I can not do quizzes or submit assignments, and often the mailing function fails. I am glad I only use this occasionally. If I had to rely on it I would fail miserably."
14 November 2021,Tabby Kitten," The interface is confusing and it's hard to navigate. But otherwise a good app, don't get me wrong. My small idiot brain loves the animation that plays when an assignment is turned in. It is easy to use, but still hard for my very limited braincells to figure out. Bonus points for confetti that I alFull ReviewThe interface is confusing and it's hard to navigate. But otherwise a good app, don't get me wrong. My small idiot brain loves the animation that plays when an assignment is turned in. It is easy to use, but still hard for my very limited braincells to figure out. Bonus points for confetti that I already mentioned."
8 November 2021,Liza Liza," CANVAS is extremely UNintuitive and NOT user-friendly. It's a linear system and quite annoying and time wasting to use. You have to keep going back to one specific page to go to the page you want. Most of the time you can't find what you are looking because it's not where you'd expect it to be. AlsoFull ReviewCANVAS is extremely UNintuitive and NOT user-friendly. It's a linear system and quite annoying and time wasting to use. You have to keep going back to one specific page to go to the page you want. Most of the time you can't find what you are looking because it's not where you'd expect it to be. Also, it gives you no warning when you're about to start a test! If you accidentally press ""next"" there's no way back or out. There should be a permanent link to BRAINFUSE!"
23 October 2021,Selena Y., It's easy access if I don't have my laptop. Half of the time the app doesn't match with the website- fix that. For the past week the app would try to load for about 30-50 seconds then exits the app. I checked play store and it says it's up to date (clearly it's not). Point 2- when I look at an assigFull ReviewIt's easy access if I don't have my laptop. Half of the time the app doesn't match with the website- fix that. For the past week the app would try to load for about 30-50 seconds then exits the app. I checked play store and it says it's up to date (clearly it's not). Point 2- when I look at an assignment it doesn't load.
22 September 2021,Duane Budd," This is desperately in need of some better video controls. The pause button should be larger, and there should be a -10 or -15 second 'rewind' function. As it is, it's a pain to keep up with notes. It takes too long to pause if we need to catch up, and it is a royal pain to jump back if we missed anFull ReviewThis is desperately in need of some better video controls. The pause button should be larger, and there should be a -10 or -15 second 'rewind' function. As it is, it's a pain to keep up with notes. It takes too long to pause if we need to catch up, and it is a royal pain to jump back if we missed an important word or two (especially on longer videos.) It's making studying a real chore."
